2025-07-17 11:17:38 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 11:17:38 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 11:17:38 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:17:38 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:17:38 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 11:25:19 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 11:25:19 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 11:25:20 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:25:20 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:25:20 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 11:27:59 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 11:27:59 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 11:27:59 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:27:59 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:27:59 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 11:30:06 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 11:30:06 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 11:30:06 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:30:06 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:30:06 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 13:31:02 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 13:31:03 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 13:31:03 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 13:31:03 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 13:31:03 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 13:34:47 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log, handler ID: 1
2025-07-17 13:34:47 | INFO | src.anquant.py.util.logging | Logging initialized for config_loader (type: general, file: D:\AlphaNivesh\ANQuant\logs\config_loader_2025-07-17.log)
2025-07-17 13:34:47 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 13:34:47 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 13:34:47 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
