2025-07-17 10:27:15 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 10:27:15 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:27:15 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:27:15 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:31:02 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 10:31:02 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 10:31:02 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:31:02 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:31:02 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:36:14 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 10:36:14 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 10:36:14 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:36:14 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:36:14 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:42:35 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 10:42:35 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 10:42:35 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:42:35 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:42:35 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:43:56 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 10:43:56 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 10:43:56 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:43:56 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:43:56 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:46:21 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 10:46:21 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 10:46:21 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:46:21 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:46:21 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:50:28 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 10:50:28 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 10:50:28 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:50:28 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:50:28 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 10:54:00 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 10:54:00 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 10:54:00 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:54:00 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:54:00 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 11:00:14 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 11:00:14 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 11:00:14 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:00:14 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:00:14 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 11:11:21 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 11:11:21 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 11:11:21 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:11:21 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:11:21 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 11:14:41 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 11:14:41 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 11:14:41 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:14:41 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:14:41 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 11:17:41 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 11:17:41 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 11:17:41 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:17:41 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:17:41 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 11:25:22 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 11:25:22 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
2025-07-17 11:25:22 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:25:22 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:25:22 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\redis_client_2025-07-17.log
2025-07-17 11:28:05 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log, handler ID: 13
2025-07-17 11:28:05 | INFO | src.anquant.py.util.logging | Logging initialized for indicator_engine (type: general, file: D:\AlphaNivesh\ANQuant\logs\indicator_engine_2025-07-17.log)
