2025-07-17 10:50:28 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 10:50:28 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:50:28 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:50:28 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 10:54:00 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 10:54:00 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 10:54:00 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:54:00 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 10:54:00 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 11:00:15 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 11:00:15 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 11:00:15 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:00:15 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:00:15 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 11:11:21 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 11:11:21 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 11:11:21 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:11:21 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:11:21 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 11:14:41 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 11:14:41 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 11:14:41 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:14:41 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:14:41 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 11:17:42 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 11:17:42 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 11:17:42 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:17:42 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:17:42 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 11:25:22 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 11:25:22 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 11:25:22 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:25:22 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:25:22 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 11:28:06 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 11:28:06 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 11:28:06 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:28:06 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:28:06 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 11:30:10 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 11:30:10 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 11:30:10 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:30:10 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
2025-07-17 11:30:10 | DEBUG | src.anquant.py.util.logging | Log file path: D:\AlphaNivesh\ANQuant\logs\historical_data_manager_2025-07-17.log
2025-07-17 13:31:25 | DEBUG | src.anquant.py.util.logging | Added file handler for D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log, handler ID: 23
2025-07-17 13:31:25 | INFO | src.anquant.py.util.logging | Logging initialized for corporate_action_manager (type: general, file: D:\AlphaNivesh\ANQuant\logs\corporate_action_manager_2025-07-17.log)
2025-07-17 13:31:25 | DEBUG | src.anquant.py.util.logging | Using config path: D:\AlphaNivesh\ANQuant\config/config.yaml, log dir: D:\AlphaNivesh\ANQuant\logs
2025-07-17 13:31:25 | DEBUG | src.anquant.py.util.logging | Creating log directory: D:\AlphaNivesh\ANQuant\logs
